name;popularity;releases;age;loc;cbo;dit;lcom
java-design-patterns;80242;0;8;32511.0;3.0;1.0;0.0
JavaGuide;131828;0;4;;;;
LeetCodeAnimation;72498;0;4;78.0;1.0;1.0;0.0
advanced-java;69056;1;4;;;;
spring-boot;66063;163;10;311815.0;4.0;13.0;0.0
mall;64096;2;4;100638.0;3.0;4.0;13.0
elasticsearch;63004;108;13;1910853.0;5.0;176.0;1.0
GitHub-Chinese-Top-Charts;60465;0;3;5.0;0.0;1.0;0.0
interviews;59338;0;6;5621.0;1.0;2.0;0.0
spring-framework;51043;249;12;650871.0;3.0;70.0;0.0
Java;50677;0;6;28925.0;2.0;4.0;1.0
guava;46970;35;8;262839.0;2.0;66.0;0.0
RxJava;46865;231;10;369970.0;1.0;26.0;0.0
retrofit;41262;0;12;26747.0;3.0;16.0;0.0
dubbo;38534;76;10;200721.0;4.0;10.0;0.0
ghidra;37850;26;4;;;;
MPAndroidChart;36213;44;8;21111.0;5.0;6.0;1.0
jeecg-boot;33838;25;4;35815.0;4.0;4.0;0.0
jadx;33682;27;9;103602.0;3.0;21.0;0.0
lottie-android;33679;44;6;15944.0;5.0;6.0;1.0
tutorials;33601;0;9;383740.0;3.0;11.0;0.0
glide;33423;44;9;57646.0;4.0;20.0;0.0
hello-algorithm;32116;0;2;61.0;1.0;1.0;0.0
AndroidUtilCode;31936;117;6;39966.0;2.0;10.0;0.0
arthas;31920;47;4;40329.0;3.0;14.0;1.0
dbeaver;31003;171;7;418584.0;4.0;28.0;1.0
netty;30832;0;12;313134.0;2.0;26.0;0.0
zxing;30755;29;11;39611.0;4.0;6.0;0.0
spring-boot-demo;28941;0;5;7163.0;4.0;5.0;0.0
spring-boot-examples;28653;0;6;4461.0;4.0;2.0;0.0
apollo;27833;38;7;26812.0;6.0;14.0;0.0
easyexcel;27042;5;5;19667.0;5.0;8.0;1.0
JCSprout;26950;0;5;4399.0;1.0;4.0;0.0
druid;26638;48;11;318090.0;4.0;32.0;0.0
halo;26280;110;4;28560.0;5.0;8.0;0.0
selenium;26028;80;10;91202.0;4.0;28.0;0.0
miaosha;25764;0;4;8581.0;3.0;4.0;0.0
nacos;25683;52;4;111766.0;3.0;24.0;0.0
vhr;25677;0;5;2971.0;2.0;2.0;6.0
butterknife;25653;0;10;7712.0;2.0;6.0;0.0
hutool;25640;129;8;116522.0;3.0;11.0;1.0
canal;25216;26;10;107716.0;4.0;13.0;1.0
fastjson;25197;84;11;206496.0;1.0;15.0;0.0
SpringAll;25166;0;4;6035.0;4.0;4.0;0.0
proxyee-down;25102;49;5;3392.0;4.0;5.0;2.0
spring-cloud-alibaba;24994;32;5;15253.0;5.0;4.0;0.0
toBeTopJavaer;24436;0;4;;;;
kafka;24380;0;11;430849.0;4.0;17.0;0.0
EventBus;24275;7;10;5269.0;3.0;12.0;0.0
SmartRefreshLayout;24098;10;5;19480.0;3.0;6.0;0.0
xxl-job;23765;31;7;8606.0;3.0;4.0;0.0
