nameWithOwner;name;url;stargazerCount;releases;createdAt;ageInYears
JessYanCoding/MVPArms;MVPArms;https://github.com/JessYanCoding/MVPArms;10200;25;06/08/2016 08:49:56;6
JakeWharton/ViewPagerIndicator;ViewPagerIndicator;https://github.com/JakeWharton/ViewPagerIndicator;10189;0;04/08/2011 17:13:44;11
square/javapoet;javapoet;https://github.com/square/javapoet;10100;0;01/02/2013 16:56:30;10
apache/dolphinscheduler;dolphinscheduler;https://github.com/apache/dolphinscheduler;10082;40;01/03/2019 16:39:25;4
google/auto;auto;https://github.com/google/auto;10046;57;22/05/2013 21:41:56;9
jhy/jsoup;jsoup;https://github.com/jhy/jsoup;10026;9;19/12/2009 01:29:58;13
apereo/cas;cas;https://github.com/apereo/cas;10013;240;09/09/2011 01:36:42;11
gyoogle/tech-interview-for-developer;tech-interview-for-developer;https://github.com/gyoogle/tech-interview-for-developer;9954;0;09/06/2019 04:42:57;3
macrozheng/mall-swarm;mall-swarm;https://github.com/macrozheng/mall-swarm;9936;2;25/11/2019 06:55:31;3
clojure/clojure;clojure;https://github.com/clojure/clojure;9901;0;29/06/2010 20:03:33;12
amitshekhariitbhu/android-interview-questions;android-interview-questions;https://github.com/amitshekhariitbhu/android-interview-questions;9820;0;09/07/2017 18:47:24;5
newbee-ltd/newbee-mall;newbee-mall;https://github.com/newbee-ltd/newbee-mall;9800;0;21/09/2019 03:56:04;3
wasabeef/glide-transformations;glide-transformations;https://github.com/wasabeef/glide-transformations;9747;0;09/01/2015 10:33:29;8
YoKeyword/Fragmentation;Fragmentation;https://github.com/YoKeyword/Fragmentation;9734;30;23/02/2016 08:54:55;7
HarlonWang/AVLoadingIndicatorView;AVLoadingIndicatorView;https://github.com/HarlonWang/AVLoadingIndicatorView;9696;1;24/10/2015 20:18:33;7
yuliskov/SmartTubeNext;SmartTubeNext;https://github.com/yuliskov/SmartTubeNext;9657;122;28/07/2020 12:53:52;2
googlesamples/easypermissions;easypermissions;https://github.com/googlesamples/easypermissions;9640;12;22/12/2015 18:05:53;7
TooTallNate/Java-WebSocket;Java-WebSocket;https://github.com/TooTallNate/Java-WebSocket;9624;14;20/01/2010 23:33:04;13
liaohuqiu/android-Ultra-Pull-To-Refresh;android-Ultra-Pull-To-Refresh;https://github.com/liaohuqiu/android-Ultra-Pull-To-Refresh;9623;8;13/11/2014 03:13:10;8
react-native-camera/react-native-camera;react-native-camera;https://github.com/react-native-camera/react-native-camera;9614;144;01/04/2015 00:54:40;7
ksoichiro/Android-ObservableScrollView;Android-ObservableScrollView;https://github.com/ksoichiro/Android-ObservableScrollView;9610;0;08/11/2014 14:45:20;8
paascloud/paascloud-master;paascloud-master;https://github.com/paascloud/paascloud-master;9547;0;17/03/2018 05:40:43;4
perwendel/spark;spark;https://github.com/perwendel/spark;9463;0;05/05/2011 11:52:05;11
umano/AndroidSlidingUpPanel;AndroidSlidingUpPanel;https://github.com/umano/AndroidSlidingUpPanel;9452;8;31/05/2013 18:33:53;9
pockethub/PocketHub;PocketHub;https://github.com/pockethub/PocketHub;9417;1;08/09/2011 16:52:50;11
bilibili/DanmakuFlameMaster;DanmakuFlameMaster;https://github.com/bilibili/DanmakuFlameMaster;9404;5;11/08/2013 12:18:50;9
hackware1993/MagicIndicator;MagicIndicator;https://github.com/hackware1993/MagicIndicator;9378;12;26/06/2016 08:20:43;6
MyCATApache/Mycat-Server;Mycat-Server;https://github.com/MyCATApache/Mycat-Server;9376;7;04/12/2014 02:46:54;8
doocs/jvm;jvm;https://github.com/doocs/jvm;9346;0;23/06/2018 01:12:59;4
OpenRefine/OpenRefine;OpenRefine;https://github.com/OpenRefine/OpenRefine;9333;45;15/10/2012 02:22:48;10
koral--/android-gif-drawable;android-gif-drawable;https://github.com/koral--/android-gif-drawable;9316;57;30/01/2013 01:37:46;10
lzyzsd/JsBridge;JsBridge;https://github.com/lzyzsd/JsBridge;9267;0;26/02/2015 12:10:58;8
Activiti/Activiti;Activiti;https://github.com/Activiti/Activiti;9266;210;13/09/2012 11:34:43;10
lihengming/spring-boot-api-project-seed;spring-boot-api-project-seed;https://github.com/lihengming/spring-boot-api-project-seed;9265;4;23/06/2017 10:06:30;5
alibaba/COLA;COLA;https://github.com/alibaba/COLA;9227;9;06/02/2018 13:46:27;5
asLody/VirtualApp;VirtualApp;https://github.com/asLody/VirtualApp;9181;0;06/07/2016 13:25:23;6
